Product,Company,Month,Year,Price,TimeIndex
AC,Samsung,1.0,2010,26306.207124227447,-156.0
AC,Samsung,2.0,2010,26337.970153642407,-155.0
AC,Samsung,3.0,2010,26271.115996867426,-154.0
AC,Samsung,4.0,2010,26457.28762213822,-153.0
AC,Samsung,5.0,2010,26319.7524988569,-152.0
AC,Samsung,6.0,2010,26298.099683508444,-151.0
AC,Samsung,7.0,2010,26258.229525821225,-150.0
AC,Samsung,8.0,2010,26319.40296221183,-149.0
AC,Samsung,9.0,2010,26300.936438302157,-148.0
AC,Samsung,10.0,2010,26313.054435716404,-147.0
AC,Samsung,11.0,2010,26251.305461138698,-146.0
AC,Samsung,12.0,2010,26279.64035417918,-145.0
AC,Samsung,1.0,2011,26323.058307715342,-144.0
AC,Samsung,2.0,2011,26350.38616994394,-143.0
AC,Samsung,3.0,2011,26332.770630084553,-142.0
AC,Samsung,4.0,2011,26396.642519540703,-141.0
AC,Samsung,5.0,2011,26343.704912141777,-140.0
AC,Samsung,6.0,2011,26270.60613042089,-139.0
AC,Samsung,7.0,2011,26354.73163591089,-138.0
AC,Samsung,8.0,2011,26319.85302848622,-137.0
AC,Samsung,9.0,2011,26403.10617777234,-136.0
AC,Samsung,10.0,2011,26300.727907290784,-135.0
AC,Samsung,11.0,2011,26306.95251016088,-134.0
AC,Samsung,12.0,2011,26317.898846440654,-133.0
AC,Samsung,1.0,2012,26376.505186170332,-132.0
AC,Samsung,2.0,2012,26418.383189102857,-131.0
AC,Samsung,3.0,2012,26345.35104908392,-130.0
AC,Samsung,4.0,2012,26436.943324172666,-129.0
AC,Samsung,5.0,2012,26332.632508793693,-128.0
AC,Samsung,6.0,2012,26379.5131553488,-127.0
AC,Samsung,7.0,2012,26398.487304795457,-126.0
AC,Samsung,8.0,2012,26367.661818283734,-125.0
AC,Samsung,9.0,2012,26414.022545900956,-124.0
AC,Samsung,10.0,2012,26306.07246120414,-123.0
AC,Samsung,11.0,2012,26374.77448553565,-122.0
AC,Samsung,12.0,2012,26412.19720703602,-121.0
AC,Samsung,1.0,2013,26375.385581298575,-120.0
AC,Samsung,2.0,2013,26425.044815131914,-119.0
AC,Samsung,3.0,2013,26309.763924693438,-118.0
AC,Samsung,4.0,2013,26460.57338051443,-117.0
AC,Samsung,5.0,2013,26383.68817861667,-116.0
AC,Samsung,6.0,2013,26371.872162238127,-115.0
AC,Samsung,7.0,2013,26428.21672088454,-114.0
AC,Samsung,8.0,2013,26286.235473028595,-113.0
AC,Samsung,9.0,2013,26333.800785959575,-112.0
AC,Samsung,10.0,2013,26341.1849626766,-111.0
AC,Samsung,11.0,2013,26441.55232675789,-110.0
AC,Samsung,12.0,2013,26333.15651253832,-109.0
AC,Samsung,1.0,2014,26416.89511353617,-108.0
AC,Samsung,2.0,2014,26334.58189568565,-107.0
AC,Samsung,3.0,2014,26379.316455436372,-106.0
AC,Samsung,4.0,2014,26412.666151669095,-105.0
AC,Samsung,5.0,2014,26313.71698029848,-104.0
AC,Samsung,6.0,2014,26316.57919085839,-103.0
AC,Samsung,7.0,2014,26451.088683551166,-102.0
AC,Samsung,8.0,2014,26432.087055985514,-101.0
AC,Samsung,9.0,2014,26344.523255796375,-100.0
AC,Samsung,10.0,2014,26407.62867861265,-99.0
AC,Samsung,11.0,2014,26352.02236428501,-98.0
AC,Samsung,12.0,2014,26343.516894684173,-97.0
AC,Samsung,1.0,2015,26388.21946639263,-96.0
AC,Samsung,2.0,2015,26490.763403045163,-95.0
